Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
114	-280.0	0.0	-280.0	-280.0	100.0	981.0	0.0	-5.5879354e-09	0.14064386	-0.0018260241	-0.0059332894	1.5383065	0.0056458474	0.0163125	49.0	3301.7735323905945
115	-280.0	0.0	-280.0	-280.0	100.0	989.0	0.0	-1.5832484e-08	0.13606855	-0.002251299	-0.0029447991	1.4781127	0.0070065046	0.0502	49.0	3330.128778219223
116	-280.0	0.0	-280.0	-280.0	100.0	997.0	0.0	2.3283064e-09	0.1193153	-0.0018263881	-0.0016039694	1.482724	0.006358482	0.0225	49.0	3358.539829969406
117	-280.0	0.0	-280.0	-280.0	100.0	1005.0	0.0	0.0	0.13873056	-0.0013991446	-0.005526553	1.4105957	0.0051072305	0.016212499	49.0	3387.379290819168
118	-280.0	0.0	-280.0	-280.0	100.0	1013.0	0.0	4.656613e-09	0.11655303	-0.0014527207	-0.008272023	1.4016097	0.0042335684	0.0092125	49.0	3415.175154685974
119	-280.0125	0.033073913	-280.0	-280.1	100.0	1021.0	0.0	5.5879354e-09	0.10297497	-0.0019981535	-0.0016025342	1.3597765	0.003889127	0.0157625	49.0	3442.9048721790314
120	-279.89374	0.2811131	-279.15	-280.0	100.0	1029.0	0.0	-9.313226e-09	0.09904091	-0.0015306512	-0.0041711135	1.3625124	0.003623481	0.0134375	49.0	3471.4499459266663
121	-280.0	0.0	-280.0	-280.0	100.0	1037.0	0.0	6.0535967e-09	0.122144505	-0.0013430069	-0.005308942	1.3226547	0.0043609478	0.0087625	49.0	3500.16898393631
122	-280.0	0.0	-280.0	-280.0	100.0	1045.0	0.0	0.0	0.08899438	-0.0014136368	-0.0040023876	1.3100092	0.004195362	0.0089875	49.0	3528.271217107773
123	-280.0125	0.033073913	-280.0	-280.1	100.0	1053.0	0.0	3.7252903e-09	0.12283743	-0.0018266956	-0.016122809	1.3539109	0.0031823812	0.0050125	49.0	3556.756597995758
124	-279.63126	0.6533239	-278.25	-280.0	100.0	1061.0	0.0	-2.0954758e-09	0.13799453	-0.0016912145	-0.0017586844	1.3509434	0.0052216924	0.01895	49.0	3582.6849114894867
125	-280.0	0.0	-280.0	-280.0	100.0	1069.0	0.0	-1.8626451e-09	0.16935843	-0.0014100531	-0.0026355386	1.3304504	0.0049040634	0.0098749995	49.0	3608.6785066127777
126	-280.0	0.0	-280.0	-280.0	100.0	1077.0	0.0	0.0	0.14801763	-0.0017579249	-0.0014746981	1.3478105	0.0058889147	0.0168125	49.0	3634.0793030261993
127	-280.0	0.0	-280.0	-280.0	100.0	1085.0	0.0	-3.7252903e-09	0.13852978	-0.0012125619	-0.002849711	1.3475335	0.0036457493	0.009737499	49.0	3662.2675461769104
128	-280.0	0.0	-280.0	-280.0	100.0	1093.0	0.0	6.9849193e-10	0.1621446	-0.0014434312	-0.0058955196	1.3280421	0.00586812	0.0165	49.0	3691.1104021072388
129	-280.0	0.0	-280.0	-280.0	100.0	1101.0	0.0	4.656613e-09	0.13031925	-0.0010237122	-0.0025210883	1.2786243	0.0049009183	0.0205625	49.0	3720.2601130008698
130	-280.0	0.0	-280.0	-280.0	100.0	1109.0	0.0	1.8626451e-09	0.1931862	-0.0017856644	-0.01704219	1.2527986	0.0056598526	0.0294875	49.0	3749.174085855484
131	-280.0	0.0	-280.0	-280.0	100.0	1117.0	0.0	5.5879354e-09	0.12046135	-0.0015579769	-0.0026018983	1.2487468	0.006115283	0.0232375	49.0	3778.3744938373566
132	-280.0	0.0	-280.0	-280.0	100.0	1125.0	0.0	-3.259629e-09	0.15574196	-0.0014320246	-0.0025999937	1.2713249	0.003074417	0.0085125	49.0	3807.714445590973
133	-280.0	0.0	-280.0	-280.0	100.0	1133.0	0.0	-3.7252903e-09	0.15388843	-0.0017476095	-0.009429831	1.2786384	0.0036487686	0.019875001	49.0	3836.53017950058
134	-280.0	0.0	-280.0	-280.0	100.0	1141.0	0.0	1.6298145e-09	0.15827107	-0.0011898975	-0.0025105216	1.265609	0.0050304746	0.020125	49.0	3865.659660100937
135	-280.0	0.0	-280.0	-280.0	100.0	1149.0	0.0	1.8626451e-09	0.14632204	-0.0014268393	-0.004017339	1.2544259	0.0034470716	0.0131749995	49.0	3894.7726624011993
136	-280.0	0.0	-280.0	-280.0	100.0	1157.0	0.0	1.8626451e-09	0.11982457	-0.0013887188	-0.0024421057	1.258368	0.0035441276	0.0092	49.0	3923.475670337677
137	-279.91876	0.1657131	-279.5	-280.0	100.0	1165.0	0.0	-5.5879354e-09	0.14967483	-0.0021034176	-0.003243138	1.2711751	0.0050400915	0.018925	49.0	3952.7990782260895
138	-280.0	0.0	-280.0	-280.0	100.0	1173.0	0.0	5.5879354e-09	0.15021342	-0.0017909164	-0.022340707	1.2320491	0.0033213096	0.016687501	49.0	3981.6758818626404
139	-280.0	0.0	-280.0	-280.0	100.0	1181.0	0.0	-3.7252903e-09	0.1693871	-0.0018436037	-0.0031004092	1.2113206	0.0038769802	0.0313875	49.0	4009.338789701462
140	-280.0	0.0	-280.0	-280.0	100.0	1189.0	0.0	-2.7939677e-09	0.19432914	-0.0017457586	-0.01461252	1.1955495	0.004113625	0.033225	49.0	4037.910745382309
