Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen
9200	156.63751	37.488262	205.45	30.6	40.0
9220	146.71751	38.86497	202.1	53.5	40.0
9240	148.8725	32.059086	187.85	46.1	40.0
9260	155.25252	29.872095	211.2	94.75	40.0
9280	134.3525	43.73506	212.55	70.05	40.0
9300	128.76498	37.500023	181.55	-2.25	40.0
9320	133.8475	49.614983	193.3	17.9	40.0
9340	155.88501	36.94988	211.85	81.4	40.0
9360	137.93253	42.329205	196.45	46.05	40.0
9380	132.1425	49.307728	213.6	42.55	40.0
9400	141.25002	42.32524	194.05	34.05	40.0
9420	140.34752	39.715927	222.75	57.6	40.0
9440	153.0375	42.236332	208.95	52.15	40.0
9460	132.22751	46.85803	195.9	8.0	40.0
9480	137.95001	28.76527	198.5	81.6	40.0
9500	130.48001	40.92887	188.65	29.1	40.0
9520	131.88748	40.894554	193.0	21.85	40.0
9540	130.87	32.346027	177.35	58.649998	40.0
9560	150.9575	34.437492	207.9	64.35	40.0
9580	126.69499	42.485794	184.95	17.8	40.0
9600	135.23999	30.485306	193.95	82.25	40.0
9620	143.7175	30.61541	185.7	63.55	40.0
9640	114.97749	51.73176	180.95	-0.0500004	40.0
9660	139.26749	46.85258	200.05	29.65	40.0
9680	165.81499	25.475903	201.55	116.85	40.0
9700	132.335	41.7187	192.15	34.0	40.0
9720	135.54251	48.910736	179.05	-4.0	40.0
9740	151.98001	35.219547	207.95	48.95	40.0
9760	156.94498	28.34743	212.7	97.6	40.0
9780	146.4125	39.692406	214.5	62.9	40.0
9800	145.9075	30.449394	216.35	84.65	40.0
9820	134.9475	54.961353	203.2	-23.050001	40.0
9840	146.515	39.435642	197.75	32.0	40.0
9860	144.2	35.487354	204.0	32.8	40.0
9880	154.16501	38.46928	206.35	59.4	40.0
9900	149.59	35.015606	214.65	77.799995	40.0
9920	158.9275	32.83256	231.55	109.4	40.0
9940	155.31248	32.968468	225.95	103.8	40.0
9960	161.48001	29.175983	203.45	77.25	40.0
9980	159.95248	37.86467	212.0	78.5	40.0
10000	155.34	30.545637	197.7	76.5	40.0
10020	125.402504	40.878067	178.55	35.95	40.0
10040	146.82748	20.28403	192.3	115.55	40.0
10060	157.61751	40.829548	216.2	51.0	40.0
10080	155.04749	31.502142	215.5	95.7	40.0
10100	143.24998	26.033297	194.5	96.25	40.0
10120	156.16	23.074703	198.1	118.9	40.0
10140	151.23	37.22891	212.95	66.3	40.0
10160	146.735	36.462456	212.75	71.15	40.0
10180	144.20999	46.831318	203.05	10.25	40.0
10200	143.49998	47.26858	203.5	-7.1000004	40.0
10220	147.6175	30.152145	214.4	86.1	40.0
10240	146.955	43.670647	200.85	5.8	40.0
10260	153.1025	26.59584	197.0	83.0	40.0
10280	162.29251	35.750732	208.3	81.25	40.0
10300	143.18001	55.8534	204.05	13.25	40.0
10320	126.250015	39.42061	180.6	19.4	40.0
