Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
100	-280.0	0.0	-280.0	-280.0	100.0	824.0	0.0	-6.519258e-09	0.11591418	-0.002027371	-0.0035253586	1.8237046	0.0057398435	0.0135375	49.0	3160.7336649894714
101	-280.0	0.0	-280.0	-280.0	100.0	832.0	0.0	-1.8626451e-09	0.12543604	-0.0020462978	-0.0051492415	1.7850494	0.0044928133	0.0158875	49.0	3189.6113250255585
102	-280.0	0.0	-280.0	-280.0	100.0	840.0	0.0	-9.080395e-09	0.11018479	-0.0020399492	-0.0033743922	1.8232222	0.009341097	0.021612499	49.0	3218.525866508484
103	-280.0	0.0	-280.0	-280.0	100.0	848.0	0.0	3.4924597e-09	0.13375627	-0.002174042	-0.0010019438	1.7708465	0.0056444285	0.0151	49.0	3247.920973300934
104	-280.0	0.0	-280.0	-280.0	100.0	856.0	0.0	-6.0535967e-09	0.13462797	-0.0021359855	-0.0023164805	1.7340223	0.005417143	0.022937499	49.0	3277.3308832645416
105	-280.0	0.0	-280.0	-280.0	100.0	864.0	0.0	-3.7252903e-09	0.12118543	-0.0021527067	-0.0019005127	1.753833	0.006164708	0.021125	49.0	3306.1834881305695
106	-280.0	0.0	-280.0	-280.0	100.0	872.0	0.0	-3.7252903e-09	0.12827215	-0.0016107075	-0.0027547628	1.8064697	0.0036438263	0.01265	49.0	3335.39253115654
107	-280.0	0.0	-280.0	-280.0	100.0	880.0	0.0	-3.7252903e-09	0.13322029	-0.0016648789	-0.0025242	1.8007336	0.004931093	0.013475	49.0	3364.471150159836
108	-280.0	0.0	-280.0	-280.0	100.0	888.0	0.0	6.519258e-09	0.105808645	-0.0013424559	-0.001239595	1.819962	0.005942995	0.01055	49.0	3392.428975343704
109	-280.0	0.0	-280.0	-280.0	100.0	896.0	0.0	3.259629e-09	0.12662072	-0.0022705754	-0.0015770299	1.8082514	0.00552508	0.0194375	49.0	3421.0893018245697
