Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
7140	528.9525	141.99574	683.5	141.7	77.9	3 h 22 min
7160	417.08502	193.34477	683.2	95.0	77.9	3 h 22 min
7180	482.98495	166.18277	615.5	164.15	80.0	3 h 23 min
7200	495.53247	200.8983	675.35	45.199997	76.1	3 h 23 min
7220	570.5775	98.141785	672.45	282.0	78.15	3 h 24 min
7240	562.04254	143.21674	662.65	68.4	76.7	3 h 24 min
7260	505.60748	156.12419	660.65	111.299995	78.65	3 h 25 min
7280	585.12506	41.33713	623.4	470.65	80.0	3 h 25 min
7300	548.3275	133.13751	680.15	125.15	77.95	3 h 26 min
7320	514.8825	171.37239	685.8	99.1	77.7	3 h 27 min
7340	539.7175	140.40907	622.4	54.85	80.0	3 h 27 min
7360	467.84253	208.55025	618.6	34.05	80.0	3 h 28 min
7380	511.80753	125.159004	617.3	201.25	80.0	3 h 28 min
7400	362.8975	175.8994	613.05	122.2	80.0	3 h 29 min
7420	459.9825	197.22495	680.1	82.0	78.0	3 h 29 min
7440	483.28995	173.5389	620.4	55.55	80.0	3 h 30 min
7460	528.745	116.3207	620.25	245.15	80.0	3 h 30 min
7480	469.99747	178.5141	619.65	125.0	80.0	3 h 31 min
7500	517.1124	171.88507	681.8	65.85	77.9	3 h 32 min
7520	516.9525	124.16772	619.85	208.9	80.0	3 h 32 min
7540	543.8075	117.73376	620.55	174.09999	80.0	3 h 33 min
7560	470.2575	192.73235	622.15	132.15	80.0	3 h 33 min
7580	565.37506	87.85147	618.7	289.95	80.0	3 h 34 min
7600	536.41504	139.33318	620.65	196.05	80.0	3 h 34 min
7620	541.67004	152.4965	623.5	87.05	80.0	3 h 35 min
7640	543.82	146.332	688.25	43.1	77.75	3 h 36 min
7660	502.45752	143.86543	618.6	176.95	80.0	3 h 36 min
7680	470.21747	170.27061	617.15	95.049995	80.0	3 h 37 min
7700	526.2325	153.3603	619.95	76.15	80.0	3 h 37 min
7720	522.1225	157.08865	622.2	55.199997	80.0	3 h 38 min
7740	475.305	165.60759	619.6	116.299995	80.0	3 h 38 min
7760	494.4625	171.05092	619.8	44.75	80.0	3 h 39 min
7780	478.7	176.16605	616.9	-7.400002	80.0	3 h 39 min
7800	495.81744	140.08289	617.65	180.4	80.0	3 h 40 min
7820	558.675	107.13301	623.35	186.25	80.0	3 h 41 min
7840	583.29254	48.428078	620.95	432.0	80.0	3 h 41 min
7860	535.8375	131.62802	677.9	161.8	78.1	3 h 42 min
7880	519.0325	140.33513	621.55	90.549995	80.0	3 h 42 min
7900	552.51996	101.87529	618.95	205.3	80.0	3 h 43 min
7920	505.39252	165.99628	682.25	74.15	77.85	3 h 43 min
7940	457.045	182.06596	620.55	109.55	80.0	3 h 44 min
7960	465.91	194.22304	614.8	4.699999	80.0	3 h 45 min
