Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
86	455.94687	60.089764	552.8	330.1	100.0	1392.0	2.0	-5.5879354e-09	8.979945	-0.004160596	-0.3332712	1.3291225	0.003788068	0.03255	49.0	37959.56199884415
87	404.92188	128.4551	555.64996	-16.750006	100.0	1408.0	0.0	-4.656613e-10	11.391588	-0.0038827364	-0.30533051	1.347675	0.003520695	0.03047	49.0	38029.70375919342
88	413.74374	203.81656	560.39996	-220.40001	100.0	1424.0	0.0	-9.313226e-10	12.311392	-0.0038357368	-0.3508898	1.2828177	0.0039458307	0.03141	49.0	38099.52147483826
89	452.06873	130.67757	571.5	76.799995	100.0	1440.0	0.0	-5.5879354e-09	10.616119	-0.004268534	-0.24747157	1.3028765	0.003683969	0.03474	49.0	38169.182965278625
90	434.45624	224.64456	601.6	-190.05	100.0	1456.0	0.0	-9.313226e-10	12.409016	-0.0036758212	-0.4200878	1.2468829	0.0033091558	0.026665	49.0	38240.15864062309
91	469.93436	144.785	576.89996	60.599995	100.0	1472.0	0.0	9.313226e-10	10.309448	-0.003655211	-0.38999027	1.2704955	0.0039565666	0.028895	49.0	38317.329677820206
92	432.46875	232.78645	633.35	-370.2	100.0	1488.0	0.0	4.656613e-10	10.559712	-0.003651495	-0.30634904	1.271739	0.0032876534	0.027564999	49.0	38388.97452664375
93	585.6937	67.03405	698.6	433.05	100.0	1504.0	0.0	1.8626451e-09	10.297514	-0.0040882262	-0.8982812	1.3058748	0.0038943817	0.032355	49.0	38465.0865547657
94	519.8656	115.417625	649.25	164.09999	100.0	1520.0	0.0	3.7252903e-09	11.766445	-0.0040121493	-0.34576994	1.2840111	0.0036615808	0.03288	49.0	38542.171961545944
95	549.90625	138.11388	671.64996	147.15	100.0	1536.0	0.0	6.519258e-09	10.503098	-0.004107995	-0.22982347	1.2293956	0.003531288	0.02833	49.0	38612.92722415924
96	553.39685	246.41313	697.05	-377.7	100.0	1552.0	0.0	-3.7252903e-09	10.753149	-0.0038053677	-0.505288	1.244508	0.0033737002	0.02888	49.0	38682.92493009567
97	561.9	113.87567	681.0	251.7	100.0	1568.0	0.0	-9.313226e-10	11.285236	-0.0037492807	-0.42481756	1.2584951	0.0030456604	0.02585	49.0	38753.53123021126
98	614.0375	141.37245	708.2	86.049995	100.0	1584.0	0.0	2.7939677e-09	10.192441	-0.003725804	-0.29795063	1.2251915	0.003433445	0.027059998	49.0	38829.04399013519
99	615.5625	57.373318	705.1	458.5	100.0	1600.0	0.0	-3.0267984e-09	10.430878	-0.004006942	-0.24629807	1.2063067	0.003732955	0.02935	49.0	38900.05643129349
100	693.0625	58.050934	789.0	530.15	100.0	1616.0	0.0	-9.546056e-09	9.930693	-0.004197073	-0.35473466	1.1923969	0.0034505848	0.02939	49.0	38971.29715180397
101	676.72186	59.627995	776.3	568.0	100.0	1632.0	0.0	-7.916242e-09	11.085776	-0.0039186394	-0.26982856	1.2145507	0.0032180278	0.030280001	49.0	39041.82102751732
102	690.01874	95.079895	802.35	464.8	100.0	1648.0	0.0	8.8475645e-09	11.38231	-0.0038489955	-0.2640592	1.2055408	0.0036578784	0.029385	49.0	39112.85281538963
103	721.6781	67.28898	826.05	560.14996	100.0	1664.0	0.0	6.519258e-09	12.34642	-0.0040883524	-0.3645512	1.2066376	0.0035271596	0.02792	49.0	39184.31562566757
104	750.9812	58.79472	827.55	560.7	100.0	1680.0	0.0	1.1641532e-09	11.125412	-0.0041832486	-0.37986135	1.2115557	0.0038461057	0.03251	49.0	39254.79751229286
105	754.71875	99.06317	810.5	390.15	100.0	1696.0	0.0	-9.313226e-09	11.949047	-0.0038880631	-0.26687384	1.1857616	0.0031853262	0.02633	49.0	39326.29192972183
